,nb_id,old_longer_beginning,new_longer_beginning,nb_url
0,625482,False,True,https://github.com/debimax/cours-debimax/blob/13422648078d87db9dbbe176761b19092f608483/Brython.ipynb
1,729600,True,False,https://github.com/tuanavu/udacity-course/blob/b50666435d582322abe7c97dd2b7dd6950adc41c/full_stack_foundations/notebooks/lesson_3/Developing%20with%20Frameworks.ipynb
2,715173,False,True,https://github.com/debimax/cours-debimax/blob/372053e31518e1150f4762a03b3a210df03d3eaa/non-donne/.ipynb_checkpoints/tkinter-checkpoint.ipynb
3,358465,True,False,https://github.com/PatrickMockridge/SpringBoard-Data-Science-Intensive/blob/83b9fd25fcabf8a457bc03bebf1b9b1b35929f49/hospital_readmit/sliderule_dsi_inferential_statistics_exercise_3.ipynb
4,1086913,False,True,https://github.com/lveronese/capstone/blob/9403244cac576b7807590e5c57ebd13e4c3d2515/capstone_report.ipynb
5,811048,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/4.stats_for_data_analysis/Train_notebooks/stat.binomial_test.ipynb
6,481597,True,False,https://github.com/husenzhang/reinvent_the_wheel/blob/2256850724eee8d535dd632c1521595facfb5a0c/nyctaxi.ipynb
7,335621,False,True,https://github.com/SujathaSubramanian/Machine-Learning--UW/blob/a4cf65771ae97f15a7813c5cebb59f4280671bbf/Course%204/Week%202/2_kmeans-with-text-data_blank.ipynb
8,902037,True,False,https://github.com/yannche/pyCommon/blob/ded0eeaf2cb7890ff926546650d2146270244ad4/decision_trees_weighted_majority_TP.ipynb
9,869830,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/lin_reg_AD_sokyrsniki/LinearRegressionTask1.ipynb
10,134473,False,True,https://github.com/dymaxionkim/My-Jupyter-Notebooks/blob/6d9e38be97954fe249b61762728dd68baf2d1915/20170120_Coding01_Hello.ipynb
11,284261,True,False,https://github.com/hatshex/text-mining/blob/059825580c46fe72c450be4043aed88c33853b32/tareas/.ipynb_checkpoints/05%20WordEmbeddings-checkpoint.ipynb
12,218673,True,False,https://github.com/tuanavu/udacity-course/blob/b50666435d582322abe7c97dd2b7dd6950adc41c/intro_to_statistics/Lesson%209%20-%20Correlation%20vs%20Causation.ipynb
13,122523,False,True,https://github.com/arnaudmiribel/ada_homework/blob/1f3fac11f92731343e1403db7af7101a05706fa0/04%20-%20Applied%20ML/task0-Preprocessing.ipynb
14,738733,True,False,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/overfitting_students/Assignment---OverfittingTask.ipynb
15,4475,False,True,https://github.com/pragyapradhan/python/blob/4475ecfe82c8883ada787eca01ef2f8ad8915bc7/jupyter%20%20.ipynb
16,1122355,False,True,https://github.com/weihuayi/fealpy/blob/b36a5803a490ac35618d20b6a0f1a06ab8f70b40/doc/fealpybook/function_basis.ipynb
17,958614,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/linear%20regression%20and%20python%20libary%20fo%20AD/peer_review_linreg_height_weight%20(1).ipynb
18,444905,True,False,https://github.com/gavinmh/GADS12-NYC/blob/cd2b2d50e49f7f8cac95bbd98488d490209b11e2/lecture-11/eigenfaces-solutions.ipynb
19,713910,True,False,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/overfitting_students/.ipynb_checkpoints/OverfittingTask-checkpoint.ipynb
20,933522,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/lin_reg_AD_sokyrsniki/peer_review_linreg_height_weight-2.ipynb
21,134623,False,True,https://github.com/dymaxionkim/My-Jupyter-Notebooks/blob/6d9e38be97954fe249b61762728dd68baf2d1915/.ipynb_checkpoints/20170120_Coding01_Hello-checkpoint.ipynb
22,843264,True,False,https://github.com/mutaihillary/Mytodo_app/blob/7ac0101942dbe0f3e3b601a6d063e5b0ad0d5e01/venv/lib/python2.7/site-packages/IPython/nbformat/tests/test2.ipynb
23,436538,True,False,https://github.com/elisevmol/Machine-Learning/blob/703de24b4c0f84cab6e05451c18ec4bde2f55f97/Lab/1-assignment.ipynb
24,62884,True,False,https://github.com/PacktPublishing/Apache-Spark-2-for-Beginners/blob/164b8bbab1c86cba30b362154001b0e917aaf8cb/Code_Chapter%202/Code/Python/IPythonNotebooks/.ipynb_checkpoints/JoinsApp-checkpoint.ipynb
25,200056,False,True,https://github.com/yannche/pyCommon/blob/f8262566810cd90abb36ce02ea116ffff1a7ce9f/notebooks/sklearn_scipy2013_tutorial/rendered_notebooks/08.2_unsupervised_clustering.ipynb
26,98606,True,False,https://github.com/sebastianGehrmann/CS281/blob/6f349d06a4f15b72bbb328577a234a117a466f89/HW1%20-%20Skeleton.ipynb
27,926037,False,True,https://github.com/anne4180/my_first_python_rep/blob/0123f3e5cd8009ea78bcce63243a9ce9ec4dc42c/python_HW.ipynb
28,1007363,False,True,https://github.com/ubcs3/2016-Fall/blob/9d8d9713e7b1e41048e0b109acaa1b2e5483c0e6/2016-10-28-notes.ipynb
29,1227159,True,False,https://github.com/yannche/pyCommon/blob/f8262566810cd90abb36ce02ea116ffff1a7ce9f/notebooks/sklearn_scipy2013_tutorial/rendered_notebooks/05.1_application_to_face_recognition.ipynb
30,6345,True,False,https://github.com/PacktPublishing/Apache-Spark-2-for-Beginners/blob/164b8bbab1c86cba30b362154001b0e917aaf8cb/Code_Chapter%202/Code/Python/IPythonNotebooks/.ipynb_checkpoints/StarterApp-checkpoint.ipynb
31,433663,True,False,https://github.com/inozemtsev/Applied-Statistics-IITP/blob/8d4df803dc973227122e11c4f2b49c25820a3614/2/Code.ipynb
32,56776,False,True,https://github.com/yannche/pyCommon/blob/f8262566810cd90abb36ce02ea116ffff1a7ce9f/notebooks/sklearn_scipy2013_tutorial/notebooks/08.2_unsupervised_clustering.ipynb
33,958674,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/linear%20regression%20and%20python%20libary%20fo%20AD/.ipynb_checkpoints/peer_review_linreg_height_weight%20(1)-checkpoint.ipynb
34,660096,True,False,https://github.com/jmportilla/CTDSI/blob/93a8b232d3ff955fe73c9c66ef60db29a18dc863/Chapter%201%20-%20Probability%20Questions.ipynb
35,111662,False,True,https://github.com/Chuphay/python/blob/e158abd0d0105d8be2951cb85b90b766637d7192/ipy/ipy/ML41-Copy0.ipynb
36,746540,True,False,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/overfitting/.ipynb_checkpoints/OverfittingTask-checkpoint.ipynb
37,139416,False,True,https://github.com/MarcoFaretra93/ggpl/blob/efcde0441578a8d7567f68a75c8d9d7850a7ce6a/2016-11-25/workshop_07.ipynb
38,315592,False,True,https://github.com/weihuayi/fealpy/blob/b36a5803a490ac35618d20b6a0f1a06ab8f70b40/doc/python3-study-note.ipynb
39,8529,True,False,https://github.com/codebasics/py/blob/72565f9144f69d0139676ddab16d7dca527813e4/jupyter/pandas_tutorial_on_stock_price.ipynb
40,700473,False,True,https://github.com/glouppe/tutorials-scikit-learn/blob/b9974ab41164a8e15b8e773faa2ad3fb0d316134/2.%20Robust%20and%20calibrated%20estimators%20with%20Scikit-Learn.ipynb
41,62187,False,True,https://github.com/LibraryOfCongress/data-exploration/blob/9032b1d8624206af93abcf44f7275256ebd3c4d1/ChronAm%20API%20Samples.ipynb
42,1093114,False,True,https://github.com/ProfessorBrunner/rp-pds15/blob/cb116cb8b41b4bdf0b411b386dcdfabc774ea45e/Week5/dbNpy.ipynb
43,284137,True,False,https://github.com/hatshex/text-mining/blob/059825580c46fe72c450be4043aed88c33853b32/tareas/05%20WordEmbeddings.ipynb
44,615876,False,True,https://github.com/arnaudmiribel/ada_homework/blob/7817c1ebfc0060a826d9e83270305d5009960ba6/05%20-%20Taming%20Text/HW5.ipynb
45,807744,True,False,https://github.com/gavinmh/GADS12-NYC/blob/cd2b2d50e49f7f8cac95bbd98488d490209b11e2/lecture-10/elbow-method-solutions.ipynb
46,253189,False,True,https://github.com/SujathaSubramanian/Machine-Learning--UW/blob/a4cf65771ae97f15a7813c5cebb59f4280671bbf/Course%204/Week4/3_em-for-gmm_blank.ipynb
47,436537,True,False,https://github.com/elisevmol/Machine-Learning/blob/703de24b4c0f84cab6e05451c18ec4bde2f55f97/Lab/.ipynb_checkpoints/1-assignment-checkpoint.ipynb
48,1250706,True,False,https://github.com/sirchuckles12/Horse-Racing/blob/aba2a8ca72c9518cb8bc0b6f6e3d85461ce8d54d/Jockey%20ELO.ipynb
49,139415,False,True,https://github.com/MarcoFaretra93/ggpl/blob/efcde0441578a8d7567f68a75c8d9d7850a7ce6a/2016-11-25/.ipynb_checkpoints/workshop_07-checkpoint.ipynb
50,266110,False,True,https://github.com/lmarti/jupyterday-philly-19.05.2017/blob/491ccd4fbc0c0d9269fbd6ab76976db8cd1b64d3/E1.%20Evolutionary%20Multi-Objective%20Optimization.ipynb
51,375664,False,True,https://github.com/camaris/CsvFingerprint/blob/0a993b2ac20aa8dfe7deca0d2b08bf36c8730431/dev_notebooks/FingerprintPandasV3.ipynb
52,589485,True,False,https://github.com/hatshex/text-mining/blob/059825580c46fe72c450be4043aed88c33853b32/tareas/.ipynb_checkpoints/05%20WordEmbeddings-ContextoPeque%C3%B1o-checkpoint.ipynb
53,436766,True,False,https://github.com/elisevmol/Machine-Learning/blob/703de24b4c0f84cab6e05451c18ec4bde2f55f97/Lab/.ipynb_checkpoints/1-assignment-Copy1-checkpoint.ipynb
54,85316,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/1.math_and_python/Homeworks/testing%20students%20central%20limit%20teorem/week4_central_limit.ipynb
55,1139974,True,False,https://github.com/yw1234/big-data-project/blob/52d0892f03b499b44a78af32124ddf1d0b33ccc3/Data_cleaning.ipynb
56,111250,False,True,https://github.com/vyachegrinko/Python_for_Data_Science/blob/beaac78d202f4929c8ea62421bead62540f10f33/3_Python_Basic_Concepts.ipynb
57,1018957,False,True,https://github.com/SujathaSubramanian/Machine-Learning--UW/blob/a4cf65771ae97f15a7813c5cebb59f4280671bbf/Course%204/Week%202/.ipynb_checkpoints/2_kmeans-with-text-data_blank-checkpoint.ipynb
58,1093035,False,True,https://github.com/aprilnovak/coupling-moose/blob/26999ebb4cda8504510d545ec441240ac8495d71/modules/level_set/tests/kernels/advection/advection_mms.ipynb
59,463660,True,False,https://github.com/inozemtsev/Applied-Statistics-IITP/blob/8d4df803dc973227122e11c4f2b49c25820a3614/2/.ipynb_checkpoints/Density-checkpoint.ipynb
60,122995,True,False,https://github.com/jpdeleon/ircs/blob/910450ae50ab1217f56b56bf8275ff60f7814648/notebook/using%20k2plr.ipynb
61,788559,False,True,https://github.com/Soltonbekov/data_analysis/blob/56141b9d488968ca3634505b7d75e3ec0dda12dc/Python/Week2/matrix_operations-.ipynb
62,843343,True,False,https://github.com/dessHub/bc-14-onlineStore/blob/a7720d496bff9428511163fe12c0b491b9dbf689/flask/lib/python2.7/site-packages/IPython/nbformat/tests/test2.ipynb
63,717047,False,True,https://github.com/debimax/cours-debimax/blob/3e3a4240cfb0842232a00ef1b8d03a04357a387e/non-donne/tkinter.ipynb
64,952769,False,True,https://github.com/SujathaSubramanian/Machine-Learning--UW/blob/a4cf65771ae97f15a7813c5cebb59f4280671bbf/Course%204/week6/6_hierarchical_clustering_blank.ipynb
65,858577,False,True,https://github.com/jatinkatyal13/python_for_machine_learning/blob/d4a401fe64eca3711f677d24a90a21420a9273f4/13_convolutional_neural_networks.ipynb
66,769917,False,True,https://github.com/debimax/cours-debimax/blob/dba5f223a264ed1c39c17d1d2e1c5196056e9795/Parser_des_pages_internet.ipynb
67,950948,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/lin_reg_AD_sokyrsniki/.ipynb_checkpoints/peer_review_linreg_height_weight_rtarasov-checkpoint.ipynb
68,1122309,True,False,https://github.com/codebasics/py/blob/04007c6dc841b0eec13cf00117dd12b2733c0f9a/pandas/7_group_by/pandas_group_by.ipynb
69,1058226,False,True,https://github.com/dymaxionkim/My-Jupyter-Notebooks/blob/cebcc0532578e98abce3b0fcd071e4f50bcf2acc/20170124_ODE.ipynb
70,11545,True,False,https://github.com/PacktPublishing/Apache-Spark-2-for-Beginners/blob/164b8bbab1c86cba30b362154001b0e917aaf8cb/Code_Chapter%203/Code_Chapter%203/Code/Python/Python/.ipynb_checkpoints/JoinsApp-checkpoint.ipynb
71,1084120,True,False,https://github.com/selimb/schoolstuff/blob/80e638453b188b9ddedc13e1ae3ae7ddbc7889c9/mech430/problem_set_7.ipynb
72,187398,True,False,https://github.com/abhishekanand/DS4UX/blob/8e6a75215a73e8c1692483c40ac36e3b3279b57d/week8/notebooks/DS4UX%20Jupyter%20intro.ipynb
73,251827,False,True,https://github.com/ryanolson/tf-ornl/blob/97fcbd5ed2abe68de511719d2843b00a69457874/data-to-tf-record-v2.ipynb
74,884019,False,True,https://github.com/samjfalk/GA-DSI/blob/2bb99a2cdd6fab960d412e2bc56ba561b7c1c20f/Projects/Project%203_SamFalk_Submit.ipynb
75,729847,True,False,https://github.com/tuanavu/udacity-course/blob/b50666435d582322abe7c97dd2b7dd6950adc41c/full_stack_foundations/notebooks/lesson_3/ipynb_checkpoints/Developing%20with%20Frameworks-checkpoint.ipynb
76,963041,False,True,https://github.com/deFang/Machine-Learning-Clustering-Retrieval/blob/5566543df7535dfba12a6ca6e350d38209354187/week6/.ipynb_checkpoints/6_hierarchical_clustering_blank-checkpoint.ipynb
77,459847,False,True,https://github.com/abhishekanand/DS4UX/blob/8e6a75215a73e8c1692483c40ac36e3b3279b57d/week8/notebooks/Wiki%20shows.ipynb
78,1230216,True,False,https://github.com/kyle5794/Final_year_project/blob/3b42fabe9e9c1d3c8b42d7e9aeac437f15aa93f5/phase1/Mining%20data.ipynb
79,1125592,False,True,https://github.com/neonrights/neonrights.github.io/blob/66be078047efd88760b66f977652717c9ba1f125/examples/fsm_test%20(errors).ipynb
80,122522,False,True,https://github.com/arnaudmiribel/ada_homework/blob/1f3fac11f92731343e1403db7af7101a05706fa0/04%20-%20Applied%20ML/src/task0-Preprocessing.ipynb
81,376995,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/4.stats_for_data_analysis/Train_notebooks/stat.bootstrap_intervals/stat.bootstrap_intervals.ipynb
82,1042121,True,False,https://github.com/SujathaSubramanian/Machine-Learning--UW/blob/a4cf65771ae97f15a7813c5cebb59f4280671bbf/Course%202/Week1/PhillyCrime.ipynb
83,984170,True,False,https://github.com/mrocklin/dask-workshop/blob/fc67a93415469d705028ea2dc9113e109b69cfec/02-dask-dataframes.ipynb
84,458296,True,False,https://github.com/yannche/pyCommon/blob/f8262566810cd90abb36ce02ea116ffff1a7ce9f/notebooks/sklearn_scipy2013_tutorial/rendered_notebooks/04.1_supervised_classification.ipynb
85,375945,False,True,https://github.com/camaris/CsvFingerprint/blob/0a993b2ac20aa8dfe7deca0d2b08bf36c8730431/dev_notebooks/.ipynb_checkpoints/FingerprintPandasV4_Python34-checkpoint.ipynb
86,6321,False,True,https://github.com/neonrights/neonrights.github.io/blob/66be078047efd88760b66f977652717c9ba1f125/examples/bayesnet_asia.ipynb
87,962960,False,True,https://github.com/deFang/Machine-Learning-Clustering-Retrieval/blob/5566543df7535dfba12a6ca6e350d38209354187/week6/6_hierarchical_clustering_blank.ipynb
88,243078,False,True,https://github.com/gseva/haskell-docs/blob/cdf0c678a9bb1bd3576f161d05e9754b9461a909/presentacion/src/10.Monadas.ipynb
89,445959,False,True,https://github.com/vyachegrinko/Python_for_Data_Science/blob/beaac78d202f4929c8ea62421bead62540f10f33/Python_for_Data_Science_all.ipynb
90,276119,False,True,https://github.com/jam1245/Visualizations/blob/6b3e50f3e1ae95f767f28d067a0f59f9b45af6b9/modules/module1/answers/L1_Anscombe_Practice_Answer.ipynb
91,737972,True,False,https://github.com/cathyhellokitty1227/Udacity_Projects/blob/81c6b38e60cc9eb00194d6c785a42fe6b4b8cb1b/Student_Intervention/student_intervention.ipynb
92,643391,True,False,https://github.com/SujathaSubramanian/Machine-Learning--UW/blob/a4cf65771ae97f15a7813c5cebb59f4280671bbf/Course%202/Week6/.ipynb_checkpoints/week-6-local-regression-assignment-blank-checkpoint.ipynb
93,232395,False,True,https://github.com/L4brax/ml_antoine_hess/blob/5c460094c17d022dd4f14bb2e2e7fe158dd028a2/Evaluations/.ipynb_checkpoints/rapport_final_barthelemy_pousset-checkpoint.ipynb
94,375824,False,True,https://github.com/camaris/CsvFingerprint/blob/0a993b2ac20aa8dfe7deca0d2b08bf36c8730431/dev_notebooks/FingerprintPandasV4_Python34.ipynb
95,994031,False,True,https://github.com/jwilber/python_nlp/blob/0d440b71dfeb5a10267df7ab08b4969de16339ef/2.%20Accessing%20Text%20Corpora%20and%20Lexical%20Resources.ipynb
96,915053,False,True,https://github.com/kamidox/pandas_tutor/blob/733482ae48e450fe7408878257b149a6ceaf8d73/12.data_visualization.ipynb
97,1010865,True,False,"https://github.com/Davidjohnwilson/notes/blob/c96216820b3c5fa5cd7f83cb33fb9209f7272ce7/Meetups/SF%20Python%20-%20July%2020,%202016.ipynb"
98,390465,True,False,https://github.com/yannche/pyCommon/blob/f8262566810cd90abb36ce02ea116ffff1a7ce9f/notebooks/sklearn_scipy2013_tutorial/rendered_notebooks/03_basic_principles_of_machine_learning.ipynb
99,713911,True,False,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/overfitting_students/OverfittingTask.ipynb
100,9258,False,True,https://github.com/neonrights/neonrights.github.io/blob/66be078047efd88760b66f977652717c9ba1f125/examples/hmm_fsm_comparison%20(errors).ipynb
101,940374,True,False,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/overfitting_students/.ipynb_checkpoints/OverfittingTask_Vla-checkpoint.ipynb
102,771763,True,False,https://github.com/SujathaSubramanian/Machine-Learning--UW/blob/a4cf65771ae97f15a7813c5cebb59f4280671bbf/Course%202/Week6/week-6-local-regression-assignment.ipynb
103,1197769,True,False,https://github.com/PacktPublishing/Apache-Spark-2-for-Beginners/blob/164b8bbab1c86cba30b362154001b0e917aaf8cb/Code_Chapter%202/Code/Python/.ipynb_checkpoints/StarterApp-checkpoint.ipynb
104,727174,False,True,https://github.com/JEJodesty/presidential_candidate_tweet_topic_analysis/blob/a10c3d545701db4992ff348b01a1d591d3df97f9/presidential_candidate_tweet_topic_analysis.ipynb
105,498647,False,True,https://github.com/gittank/notebooks/blob/d1da41b821bd7c3c6ff5714826ab71b82dede669/archive/ROCK's%20Data%20INCLUDING%20RCT008.ipynb
106,172449,True,False,https://github.com/yannche/pyCommon/blob/f8262566810cd90abb36ce02ea116ffff1a7ce9f/notebooks/sklearn_scipy2013_tutorial/notebooks/05.1_application_to_face_recognition.ipynb
107,612683,False,True,https://github.com/MarchMadnessCS109/project/blob/0e5292eeb668b45246e8c1fee8d754110c1f0f94/FINAL_MODEL_WITH_PCA.ipynb
108,30648,True,False,https://github.com/psygrammer/dprl/blob/c4bdd243d0585c61e22ebb5fb3e6830d231c973e/part1/OA/ch02/Finding%20Advertising%20Keywards%20on%20Web%20Pages.ipynb
109,608445,True,False,https://github.com/SujathaSubramanian/Machine-Learning--UW/blob/a4cf65771ae97f15a7813c5cebb59f4280671bbf/Course%202/Week5/.ipynb_checkpoints/Overfitting_Demo_Ridge_Lasso-checkpoint.ipynb
110,526801,True,False,https://github.com/debimax/cours-debimax/blob/13422648078d87db9dbbe176761b19092f608483/flask.ipynb
111,273933,True,False,https://github.com/rodrigowang/student_intervention/blob/ee826b42e42e24b1c0fa5d8ce18323cbd76942d0/student_intervention.ipynb
112,950886,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/2.supervised_learning/Homeworks/lin_reg_AD_sokyrsniki/peer_review_linreg_height_weight_rtarasov.ipynb
113,843428,True,False,https://github.com/cw-andrews/cohpy_challenge_2016_04/blob/78cd9810005cbcb058f10b8b8b82bccd94fecb73/text_counter/venv/lib/python3.5/site-packages/nbformat/tests/test2.ipynb
114,1256747,True,False,https://github.com/Clique-CS109/project/blob/140fcf84891c536f261fba6afb151babe13157b9/.ipynb_checkpoints/FinalProject_ProcessBook_General-checkpoint.ipynb
115,24518,False,True,https://github.com/sujoyde89/kaggle-datasets/blob/c1f424f9ce755d4bf1f7bb15cc68e02d53f7a077/house-prices/House%20Prices%20Regression.ipynb
116,343822,False,True,https://github.com/Chuphay/python/blob/e158abd0d0105d8be2951cb85b90b766637d7192/ipy/ipy/.ipynb_checkpoints/blog_6_7_14-checkpoint.ipynb
117,384004,True,False,https://github.com/HoraGoD/practice-of-python/blob/9764e34905d9fee9f4d6cb4588ed503440359d89/Untitled1.ipynb
118,472612,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/4.stats_for_data_analysis/Train_notebooks/stat.hi2_test/stat.hi2_test.ipynb
119,698430,False,True,https://github.com/tuanavu/udacity-course/blob/b50666435d582322abe7c97dd2b7dd6950adc41c/deep_learning/1_machine_learning_to_deep_learning/.ipynb_checkpoints/L1%20Machine%20Learning%20to%20Deep%20Learning-checkpoint.ipynb
120,622254,False,True,https://github.com/ArtemKupriyanov/MOOC-COURSES/blob/21efc69b5061b96efdb9b59d6a4a9961436c1a81/ML-MIPT-Yandex-spec/1.math_and_python/Train_notebooks/vector_operations.ipynb
121,914294,False,True,https://github.com/neonrights/neonrights.github.io/blob/66be078047efd88760b66f977652717c9ba1f125/examples/fsm_example.ipynb
122,1058225,False,True,https://github.com/dymaxionkim/My-Jupyter-Notebooks/blob/cebcc0532578e98abce3b0fcd071e4f50bcf2acc/.ipynb_checkpoints/20170124_ODE-checkpoint.ipynb
123,375823,False,True,https://github.com/camaris/CsvFingerprint/blob/0a993b2ac20aa8dfe7deca0d2b08bf36c8730431/dev_notebooks/.ipynb_checkpoints/FingerprintPandasV3-checkpoint.ipynb
124,960261,False,True,https://github.com/ekaterinalev/PUI2016_el2666/blob/0af8703ce691fefb7a06ac07fe6444822c7a5e03/HW3_el2666/Assignment_2_el2666%20(1).ipynb
125,9725,False,True,https://github.com/Chuphay/python/blob/e158abd0d0105d8be2951cb85b90b766637d7192/ipy/ipy/.ipynb_checkpoints/ML41-checkpoint.ipynb
126,742563,True,False,https://github.com/kingsman142/Projects/blob/8ab1bfcf2964b0d20fecf3677a7583b3a42d7ade/Udacity/student_intervention/student_intervention.ipynb
127,124681,True,False,https://github.com/ProfessorBrunner/rp-pds15/blob/cb116cb8b41b4bdf0b411b386dcdfabc774ea45e/Week1/intro2github.ipynb
128,353858,True,False,https://github.com/PatrickMockridge/SpringBoard-Data-Science-Intensive/blob/83b9fd25fcabf8a457bc03bebf1b9b1b35929f49/hospital_readmit/.ipynb_checkpoints/sliderule_dsi_inferential_statistics_exercise_3-checkpoint.ipynb
129,912221,False,True,https://github.com/weihuayi/fealpy/blob/b36a5803a490ac35618d20b6a0f1a06ab8f70b40/doc/Python3-lecture.ipynb
130,6346,True,False,https://github.com/PacktPublishing/Apache-Spark-2-for-Beginners/blob/164b8bbab1c86cba30b362154001b0e917aaf8cb/Code_Chapter%202/Code/Python/IPythonNotebooks/StarterApp.ipynb
131,501161,True,False,https://github.com/tphinkle/pore_stats/blob/ab6ee6bf1ce25cf1b27a6d7edbec094aeac75a90/.ipynb_checkpoints/pore_stats-checkpoint.ipynb
132,296860,False,True,https://github.com/BoskoKukobat/Projekat-iz-soft-computinga/blob/89350b24f49fa253467cef85382d15bef86218d2/projekat.ipynb
